Id_Capacitacion,Nombre_Programa,Descripcion_Programa,Fecha_Inicio,Fecha_Fin,Institucion,Duracion,Modalidad,Costo,Id_Usuario
1,Emprendimiento Digital,Formación integral sobre negocios digitales.,2023-01-15,2023-04-15,Universidad Nacional Mayor de San Marcos,3 meses,Virtual,1200.00,1
2,Gestión Financiera,Curso sobre administración y gestión financiera.,2023-03-01,2023-06-01,Universidad del Pacífico,3 meses,Presencial,2500.50,2
3,Innovación Empresarial,Capacitación sobre procesos innovadores en empresas.,2022-07-10,2022-10-10,PUCP,3 meses,Semipresencial,1800.75,3
4,Marketing Digital,Herramientas y técnicas para el marketing online.,2022-09-20,2022-12-20,UTEC,3 meses,Virtual,2000.00,4
5,Ventas Estratégicas,Curso especializado en técnicas de venta moderna.,2022-11-01,2023-02-01,ESAN,3 meses,Presencial,2200.30,5
6,Tecnologías Emergentes,Aprendizaje de nuevas tecnologías aplicadas al negocio.,2023-05-05,2023-08-05,UPC,3 meses,Virtual,1500.00,6
7,Gestión del Talento Humano,Desarrollo de habilidades en gestión de personas.,2023-02-10,2023-05-10,Universidad de Lima,3 meses,Presencial,1900.00,7
8,Liderazgo Empresarial,Desarrollo de competencias de liderazgo empresarial.,2023-04-15,2023-07-15,Universidad Continental,3 meses,Virtual,1700.00,8
9,Economía Circular,Introducción a la sostenibilidad y economía circular.,2023-06-20,2023-09-20,Universidad Cayetano Heredia,3 meses,Semipresencial,1600.00,9
10,Logística Internacional,Curso práctico sobre procesos logísticos globales.,2023-08-01,2023-11-01,USIL,3 meses,Presencial,2100.50,10 